"KIDSDRIV","PLCYDATE","TRAVTIME","CAR_USE","BLUEBOOK","INITDATE","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CLM_AMT","CLM_DATE","CLM_FLAG","BIRTH","AGE","AGE.GENDER","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","DENSITY","YEARQTR"
0,1998-04-22,12,"Private","$13030 ",1998-05-06,1,4,"Sports Car","no","$0 ",0,"No",0,"$4307 ",1998-07-05,"Yes",1967-08-19,"25-40","25-40F",1,11,"$36179 ","F","No","Yes","Clerical","<High School","$106892 ",6,"Highly Rural","1998Q2"
0,1995-04-29,39,"Private","$9810 ",1991-05-08,4,4,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1965-08-19,"25-40","25-40F",1,11,"$45384 ","F","No","Yes","Clerical","High School","$187731 ",8,"Rural","1995Q2"
0,1997-03-15,26,"Commercial","$48380 ",1993-04-10,4,2,"Panel Truck","no","$0 ",0,"Yes",1,"$6290 ",1997-06-17,"Yes",1940-08-14,"41-60","41-60F",0,14,"$119537 ","F","Yes","No","Professional","PhD","$360697 ",20,"Urban","1997Q1"
1,1998-06-27,9,"Private","$10840 ",1991-06-29,7,1,"Sedan","yes","$3973 ",1,"No",0,"$0 ",NA,"No",1960-07-08,"25-40","25-40M",2,7,"$3414 ","M","Yes","No","Student","<High School","$0 ",NA,"Highly Urban","1998Q2"
1,1993-10-18,58,"Private","$15400 ",1987-10-20,6,1,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1962-09-27,"25-40","25-40F",3,9,"$27431 ","F","No","Yes","Blue Collar","<High School","$153652 ",7,"Highly Rural","1993Q4"
0,1996-10-10,14,"Private","$8540 ",1990-10-12,6,1,"Pickup","no","$3653 ",1,"No",2,"$1745 ",1996-11-28,"Yes",1947-02-08,"41-60","41-60M",0,13,"$18426 ","M","No","No","Clerical","<High School","$137473 ",1,"Highly Urban","1996Q4"
0,1994-04-20,63,"Private","$8420 ",1987-04-22,7,1,"SUV","no","$3721 ",2,"No",2,"$0 ",NA,"No",1950-10-13,"41-60","41-60F",0,0,"$0 ","F","No","No","Home Maker","Bachelors","$124751 ",12,"Highly Urban","1994Q2"
0,1994-02-13,12,"Private","$6550 ",1987-02-15,7,1,"Pickup","yes","$7475 ",1,"No",4,"$0 ",NA,"No",1967-06-27,"25-40","25-40M",0,9,"$36763 ","M","Yes","No","Blue Collar","<High School","$175960 ",5,"Highly Urban","1994Q1"
0,1995-06-20,16,"Private","$12710 ",1995-07-12,1,2,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1965-05-09,"25-40","25-40F",3,14,"$31389 ","F","Yes","No","Blue Collar","<High School","$158657 ",5,"Rural","1995Q2"
1,1998-07-23,17,"Commercial","$19880 ",1998-07-23,1,1,"Sports Car","no","$0 ",0,"Yes",0,"$3642 ",1998-12-28,"Yes",1954-02-17,"41-60","41-60F",2,8,"$48819 ","F","Yes","No","Blue Collar","Bachelors","$198108 ",13,"Highly Urban","1998Q3"
0,1997-01-31,51,"Commercial","$28560 ",1990-01-22,7,2,"Panel Truck","yes","$0 ",0,"No",0,"$0 ",NA,"No",1939-02-11,"41-60","41-60M",0,13,"$99441 ","M","No","No","","PhD","$0 ",13,"Urban","1997Q1"
0,1994-08-17,41,"Private","$15040 ",1990-08-18,4,1,"Sedan","no","$0 ",0,"No",1,"$0 ",NA,"No",1942-06-05,"41-60","41-60M",0,14,"$135361 ","M","Yes","No","Lawyer","Masters","$390682 ",10,"Rural","1994Q3"
0,1999-03-03,20,"Private","$11130 ",1999-02-19,1,2,"Sedan","no","$0 ",0,"No",1,"$0 ",NA,"No",1947-06-27,"41-60","41-60M",0,11,"$96339 ","M","Yes","No","Manager","Bachelors","$321111 ",12,"Urban","1999Q1"
2,1997-10-29,38,"Private","$9670 ",1994-10-31,3,3,"SUV","no","$0 ",0,"No",0,"$4614 ",1997-12-18,"Yes",1955-02-13,"41-60","41-60F",3,14,"$15385 ","F","No","Yes","Clerical","<High School","$0 ",5,"Highly Urban","1997Q4"
2,1996-10-25,60,"Private","$9690 ",1987-11-02,9,3,"SUV","no","$34514 ",1,"Yes",0,"$4290 ",1997-07-20,"Yes",1954-02-13,"41-60","41-60F",3,14,"$36912 ","F","No","Yes","Clerical","Bachelors","$0 ",12,"Urban","1996Q4"
2,1996-10-06,60,"Private","$6550 ",1984-11-02,12,3,"SUV","no","$3791 ",1,"No",7,"$0 ",NA,"No",1954-02-13,"41-60","41-60F",3,14,"$36912 ","F","No","Yes","Clerical","Bachelors","$0 ",12,"Urban","1996Q4"
0,1997-09-04,17,"Private","$4600 ",1991-09-06,6,1,"Sports Car","no","$0 ",0,"No",0,"$4259 ",1997-12-02,"Yes",1968-04-14,"25-40","25-40F",1,12,"$33782 ","F","No","Yes","Clerical","High School","$0 ",5,"Urban","1997Q3"
0,1996-03-09,37,"Commercial","$23520 ",1986-04-10,10,2,"Panel Truck","no","$3236 ",1,"No",0,"$0 ",NA,"No",1966-06-28,"25-40","25-40M",2,14,"","M","Yes","No","Student","Bachelors","$153659 ",10,"Urban","1996Q1"
0,1998-02-16,64,"Commercial","$8760 ",1998-03-14,1,2,"Pickup","yes","$0 ",0,"No",0,"$0 ",NA,"No",1952-07-28,"41-60","41-60M",0,NA,"$25620 ","M","Yes","No","Clerical","High School","$141115 ",10,"Highly Rural","1998Q1"
0,1998-04-08,64,"Private","$8760 ",1992-03-15,6,2,"Sedan","yes","$0 ",0,"No",0,"$0 ",NA,"No",1952-07-28,"41-60","41-60M",0,NA,"$25620 ","M","Yes","No","Clerical","High School","$141115 ",10,"Highly Rural","1998Q2"
0,1996-10-12,47,"Private","$15490 ",1987-10-24,9,3,"SUV","no","$0 ",0,"No",1,"$0 ",NA,"No",1956-07-13,"41-60","41-60F",3,15,"$102262 ","F","Yes","No","Lawyer","Masters","$266234 ",15,"Highly Urban","1996Q4"
0,1996-09-23,47,"Private","$1500 ",1986-10-24,10,3,"Sports Car","no","$0 ",0,"No",0,"$0 ",NA,"No",1955-07-14,"41-60","41-60F",3,15,"","F","Yes","No","Lawyer","Masters","$155178 ",16,"Urban","1996Q3"
0,1997-09-10,39,"Private","$15270 ",1987-10-24,10,3,"Sedan","no","$0 ",0,"No",0,"$6111 ",1998-01-18,"Yes",1955-07-14,"41-60","41-60F",3,15,"","F","Yes","No","Lawyer","Masters","$155178 ",16,"Urban","1997Q3"
0,1998-02-25,69,"Commercial","$5900 ",1991-03-10,7,2,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1955-08-04,"41-60","41-60F",0,9,"$70914 ","F","No","No","Blue Collar","Bachelors","$0 ",9,"Rural","1998Q1"
0,1994-05-23,38,"Private","$6040 ",1987-05-25,7,1,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1946-11-16,"41-60","41-60F",0,12,"$45387 ","F","Yes","No","Lawyer","Masters","$162853 ",13,"Urban","1994Q2"
0,1995-10-30,66,"Commercial","$10780 ",1991-10-31,4,1,"Pickup","yes","$0 ",0,"No",0,"$0 ",NA,"No",1947-06-21,"41-60","41-60M",0,13,"$40833 ","M","Yes","No","Blue Collar","<High School","$159144 ",4,"Highly Rural","1995Q4"
0,1995-04-15,48,"Commercial","$6100 ",1995-04-26,1,2,"Pickup","no","$0 ",0,"No",1,"$0 ",NA,"No",1952-12-15,"41-60","41-60M",0,4,"$56062 ","M","No","No","Professional","Bachelors","$223241 ",7,"Rural","1995Q2"
0,1998-08-26,24,"Commercial","$29670 ",1998-08-13,1,2,"Panel Truck","yes","$5053 ",3,"No",4,"$0 ",NA,"No",1951-06-09,"41-60","41-60M",0,14,"$50201 ","M","Yes","No","Manager","High School","$169828 ",1,"Urban","1998Q3"
0,1995-01-26,45,"Private","$18060 ",1986-01-01,8,2,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1956-03-17,"41-60","41-60F",0,11,"$39848 ","F","No","No","Lawyer","Masters","$136304 ",15,"Urban","1995Q1"
0,1994-12-18,45,"Private","$5800 ",1985-01-01,9,2,"SUV","no","$3010 ",5,"No",0,"$0 ",NA,"No",1956-03-17,"41-60","41-60F",0,11,"$39848 ","F","No","No","Lawyer","Masters","$136304 ",15,"Urban","1994Q4"
0,1999-03-29,28,"Private","$15600 ",1999-03-29,1,1,"Sedan","yes","$47231 ",3,"Yes",1,"$0 ",NA,"No",1959-08-11,"25-40","25-40M",0,11,"$60157 ","M","No","No","Manager","High School","$216690 ",6,"Urban","1999Q1"
0,1998-07-17,32,"Private","$43350 ",1988-07-19,10,1,"Van","no","$0 ",0,"No",1,"$0 ",NA,"No",1948-09-23,"41-60","41-60F",0,3,"$93268 ","F","Yes","No","Clerical","<High School","$302157 ",NA,"Highly Urban","1998Q3"
1,1996-06-25,22,"Private","$16860 ",1992-06-13,4,3,"Van","yes","$0 ",0,"No",0,"$0 ",NA,"No",1958-09-02,"41-60","41-60M",3,5,"$30043 ","M","No","Yes","Clerical","High School","",1,"Highly Urban","1996Q2"
1,1997-05-28,37,"Private","$20630 ",1993-06-13,4,3,"Van","yes","$6870 ",2,"No",1,"$14755 ",1998-02-27,"Yes",1957-09-02,"41-60","41-60M",3,5,"$21042 ","M","No","Yes","Clerical","High School","",8,"Rural","1997Q2"
0,1996-10-11,26,"Commercial","$23460 ",1982-10-10,14,2,"Sedan","no","$0 ",0,"No",2,"$0 ",NA,"No",1949-03-16,"41-60","41-60F",0,9,"$58724 ","F","Yes","No","Blue Collar","Bachelors","$280436 ",7,"Highly Urban","1996Q4"
0,1996-10-05,24,"Commercial","$7390 ",1990-10-07,6,1,"Pickup","no","$0 ",0,"No",2,"$16916 ",1997-06-23,"Yes",1942-06-23,"41-60","41-60M",0,13,"$117612 ","M","Yes","No","","PhD","",16,"Highly Urban","1996Q4"
0,1998-09-05,17,"Private","$35760 ",1994-09-06,4,1,"Sedan","no","$0 ",0,"No",0,"$0 ",NA,"No",1945-07-08,"41-60","41-60M",0,7,"$221413 ","M","Yes","No","Lawyer","Masters","$511661 ",17,"Urban","1998Q3"
0,1994-01-30,22,"Private","$6700 ",1984-02-02,10,1,"Sedan","yes","$0 ",0,"No",0,"$0 ",NA,"No",1947-08-31,"41-60","41-60M",0,6,"$168168 ","M","No","No","Lawyer","Masters","$0 ",15,"Highly Urban","1994Q1"
0,1997-02-21,28,"Commercial","$20920 ",1994-02-02,3,4,"Van","yes","$6224 ",1,"No",1,"$4028 ",1997-04-11,"Yes",1973-03-04,"25-40","25-40M",0,8,"$53244 ","M","No","No","Professional","Bachelors","$0 ",8,"Urban","1997Q1"
0,1995-02-18,59,"Commercial","$29190 ",1985-02-04,10,4,"Panel Truck","yes","$0 ",0,"No",0,"$0 ",NA,"No",1970-03-05,"25-40","25-40M",0,8,"$38494 ","M","No","No","Professional","Bachelors","$0 ",8,"Rural","1995Q1"
0,1995-11-18,23,"Private","$6200 ",1991-11-19,4,1,"Sports Car","no","$6841 ",1,"No",0,"$0 ",NA,"No",1952-04-15,"41-60","41-60F",0,10,"$87887 ","F","No","No","Professional","Bachelors","$0 ",14,"Urban","1995Q4"
0,1996-04-01,26,"Private","$13150 ",1996-04-01,1,1,"SUV","no","$5484 ",1,"No",0,"$4209 ",1997-01-10,"Yes",1960-01-23,"25-40","25-40F",0,13,"$22348 ","F","No","No","Clerical","High School","$0 ",1,"Highly Urban","1996Q2"
3,1995-06-19,14,"Commercial","$24440 ",1991-06-20,4,1,"Panel Truck","yes","$5818 ",1,"No",1,"$0 ",NA,"No",1962-07-20,"25-40","25-40M",3,10,"$107765 ","M","No","Yes","Manager","Masters","$309216 ",17,"Urban","1995Q2"
0,1995-02-02,32,"Private","$16370 ",1986-02-04,9,1,"Sports Car","no","$0 ",0,"No",0,"$2000 ",1995-04-27,"Yes",1938-09-24,">60",">60F",0,11,"$80153 ","F","No","No","Manager","Masters","$272445 ",15,"Urban","1995Q1"
0,1996-01-27,14,"Commercial","$21540 ",1989-01-28,7,1,"Van","yes","$0 ",0,"No",2,"$0 ",NA,"No",1954-12-21,"41-60","41-60M",0,9,"$156367 ","M","Yes","No","","Masters","$424404 ",20,"Urban","1996Q1"
1,1995-12-04,57,"Commercial","$6000 ",1995-12-04,1,1,"Sedan","yes","$0 ",0,"No",0,"$13042 ",1996-09-02,"Yes",1954-03-25,"41-60","41-60M",2,14,"$28731 ","M","No","Yes","Blue Collar","High School","$0 ",1,"Highly Urban","1995Q4"
0,1995-08-13,69,"Private","$5600 ",1986-08-15,9,1,"Sports Car","no","$7551 ",1,"No",0,"$0 ",NA,"No",1957-12-19,"41-60","41-60F",2,9,"$59936 ","F","No","Yes","Professional","Bachelors","$0 ",NA,"Rural","1995Q3"
0,1995-11-01,50,"Private","$6400 ",1983-11-15,12,2,"Pickup","yes","$0 ",0,"No",1,"$0 ",NA,"No",1950-10-27,"41-60","41-60M",0,14,"$54639 ","M","No","No","Clerical","<High School","$0 ",1,"Rural","1995Q4"
0,1995-11-28,50,"Private","$28140 ",1995-11-12,1,2,"Sedan","yes","$0 ",0,"No",0,"$0 ",NA,"No",1950-10-27,"41-60","41-60M",0,14,"$54639 ","M","No","No","Clerical","<High School","$0 ",1,"Rural","1995Q4"
0,1999-02-25,21,"Private","$19400 ",1999-02-25,1,1,"Sports Car","no","$0 ",0,"No",1,"$0 ",NA,"No",1952-08-10,"41-60","41-60F",0,16,"$131985 ","F","Yes","No","Lawyer","Masters","$385981 ",11,"Highly Urban","1999Q1"
0,1997-04-07,42,"Private","$26500 ",1986-04-10,11,1,"Pickup","no","$0 ",0,"No",0,"$0 ",NA,"No",1946-11-16,"41-60","41-60F",0,11,"$197036 ","F","No","No","Lawyer","PhD","$498667 ",20,"Highly Urban","1997Q2"
0,1994-01-01,34,"Commercial","$23140 ",1994-01-01,1,1,"Panel Truck","yes","$21481 ",4,"Yes",7,"$2424 ",1994-02-23,"Yes",1962-08-31,"25-40","25-40M",0,10,"$85504 ","M","No","No","Blue Collar","Bachelors","$0 ",NA,"Highly Urban","1994Q1"
0,1995-02-28,34,"Private","$20900 ",1986-03-02,9,1,"Van","yes","$11407 ",2,"No",4,"$0 ",NA,"No",1947-01-29,"41-60","41-60M",0,12,"$75774 ","M","Yes","No","Doctor","PhD","$258868 ",22,"Urban","1995Q1"
0,1994-06-11,37,"Private","$6800 ",1994-07-09,1,2,"Pickup","yes","$0 ",0,"No",1,"$0 ",NA,"No",1945-12-02,"41-60","41-60M",0,12,"$113918 ","M","No","No","Lawyer","Masters","$0 ",19,"Highly Urban","1994Q2"
0,1998-06-04,33,"Private","$6850 ",1992-06-05,6,1,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1950-05-10,"41-60","41-60F",0,12,"$4542 ","F","Yes","No","Home Maker","Bachelors","$116360 ",5,"Urban","1998Q2"
2,1993-10-16,14,"Private","$16220 ",1993-10-16,1,1,"Van","no","$9216 ",2,"No",2,"$4623 ",1994-02-24,"Yes",1959-04-02,"25-40","25-40M",3,14,"$58914 ","M","No","Yes","Professional","Bachelors","$0 ",10,"Highly Urban","1993Q4"
1,1998-10-02,25,"Private","$1500 ",1998-10-02,1,1,"Sedan","yes","$0 ",0,"No",2,"$2371 ",1999-01-22,"Yes",1954-03-07,"41-60","41-60M",2,11,"$102393 ","M","No","Yes","Professional","Bachelors","$0 ",11,"Urban","1998Q4"
0,1998-09-18,38,"Private","$12940 ",1998-09-18,1,1,"Sedan","yes","$0 ",0,"No",0,"$0 ",NA,"No",1952-09-27,"41-60","41-60M",0,9,"$67433 ","M","Yes","No","Professional","Bachelors","$155700 ",4,"Urban","1998Q3"
0,1993-12-05,25,"Private","$16970 ",1993-11-12,1,3,"Sports Car","no","$0 ",0,"No",3,"$0 ",NA,"No",1951-09-10,"41-60","41-60F",0,12,"$105199 ","F","No","No","Lawyer","Masters","",14,"Highly Urban","1993Q4"
0,1994-01-25,30,"Commercial","$29230 ",1988-01-27,6,1,"Panel Truck","no","$12636 ",3,"Yes",2,"$0 ",NA,"No",1967-11-28,"25-40","25-40M",1,4,"$119331 ","M","Yes","No","Professional","Bachelors","$363888 ",10,"Highly Urban","1994Q1"
0,1999-02-03,22,"Commercial","$14510 ",1999-02-03,1,1,"Sedan","no","$0 ",0,"No",3,"$0 ",NA,"No",1954-05-07,"41-60","41-60M",0,NA,"$0 ","M","No","No","Student","Bachelors","$0 ",8,"Rural","1999Q1"
0,1994-12-01,57,"Private","$12160 ",1984-12-03,10,1,"Sedan","no","$0 ",0,"No",1,"$0 ",NA,"No",1956-09-22,"41-60","41-60M",2,16,"$63612 ","M","Yes","No","Clerical","High School","$220417 ",1,"Rural","1994Q4"
0,1996-08-17,35,"Commercial","$5430 ",1996-08-17,1,1,"Pickup","yes","$6570 ",2,"No",6,"$4405 ",1997-05-26,"Yes",1964-01-21,"25-40","25-40M",2,14,"$4290 ","M","Yes","No","Student","<High School","$0 ",1,"Urban","1996Q3"
0,1993-11-23,42,"Commercial","$25660 ",1989-11-24,4,1,"Panel Truck","yes","$0 ",0,"No",2,"$4487 ",1994-06-13,"Yes",1972-08-26,"25-40","25-40M",3,NA,"$104575 ","M","No","Yes","Blue Collar","Bachelors","$0 ",12,"Urban","1993Q4"
0,1997-10-29,30,"Private","$22040 ",1986-10-05,11,2,"Sedan","no","$0 ",0,"No",0,"$0 ",NA,"No",1957-09-13,"41-60","41-60F",2,14,"$46751 ","F","Yes","No","Manager","Masters","$177328 ",14,"Urban","1997Q4"
0,1995-09-12,49,"Private","$18740 ",1995-10-03,1,2,"Sedan","no","$0 ",0,"No",0,"$0 ",NA,"No",1955-09-14,"41-60","41-60F",2,15,"$91329 ","F","Yes","No","Lawyer","Masters","$291800 ",19,"Highly Urban","1995Q3"
