"KIDSDRIV","TRAVTIME","CAR_USE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CLM_AMT","CLM_FLAG","AGE","AGE.GENDER","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","DENSITY","AGE_YEARS","AGE_CAR"
2,60,"Private",6550,12,3,"SUV","no",3791,1,"No",7,0,"No","41-60","41-60F",3,14,36912,"F","No","Yes","Clerical","Bachelors",0,12,"Urban",43,12
0,17,"Private",4600,6,1,"Sports Car","no",0,0,"No",0,4259,"Yes","25-40","25-40F",1,12,33782,"F","No","Yes","Clerical","High School",0,5,"Urban",29,6
0,37,"Commercial",23520,10,2,"Panel Truck","no",3236,1,"No",0,0,"No","25-40","25-40M",2,14,61610,"M","Yes","No","Student","Bachelors",153659,10,"Urban",30,10
0,64,"Commercial",8760,1,2,"Pickup","yes",0,0,"No",0,0,"No","41-60","41-60M",0,10,25620,"M","Yes","No","Clerical","High School",141115,10,"Highly Rural",46,0
0,64,"Private",8760,6,2,"Sedan","yes",0,0,"No",0,0,"No","41-60","41-60M",0,10,25620,"M","Yes","No","Clerical","High School",141115,10,"Highly Rural",46,6
0,47,"Private",15490,9,3,"SUV","no",0,0,"No",1,0,"No","41-60","41-60F",3,15,102262,"F","Yes","No","Lawyer","Masters",266234,15,"Highly Urban",40,9
0,47,"Private",1500,10,3,"Sports Car","no",0,0,"No",0,0,"No","41-60","41-60F",3,15,61610,"F","Yes","No","Lawyer","Masters",155178,16,"Urban",41,10
0,39,"Private",15270,10,3,"Sedan","no",0,0,"No",0,6111,"Yes","41-60","41-60F",3,15,61610,"F","Yes","No","Lawyer","Masters",155178,16,"Urban",42,10
0,69,"Commercial",5900,7,2,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,9,70914,"F","No","No","Blue Collar","Bachelors",0,9,"Rural",43,7
0,38,"Private",6040,7,1,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,12,45387,"F","Yes","No","Lawyer","Masters",162853,13,"Urban",48,7
0,66,"Commercial",10780,4,1,"Pickup","yes",0,0,"No",0,0,"No","41-60","41-60M",0,13,40833,"M","Yes","No","Blue Collar","<High School",159144,4,"Highly Rural",49,4
0,48,"Commercial",6100,1,2,"Pickup","no",0,0,"No",1,0,"No","41-60","41-60M",0,4,56062,"M","No","No","Professional","Bachelors",223241,7,"Rural",42,0
0,24,"Commercial",29670,1,2,"Panel Truck","yes",5053,3,"No",4,0,"No","41-60","41-60M",0,14,50201,"M","Yes","No","Manager","High School",169828,1,"Urban",47,0
0,45,"Private",18060,8,2,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,11,39848,"F","No","No","Lawyer","Masters",136304,15,"Urban",39,9
0,45,"Private",5800,9,2,"SUV","no",3010,5,"No",0,0,"No","41-60","41-60F",0,11,39848,"F","No","No","Lawyer","Masters",136304,15,"Urban",39,10
0,28,"Private",15600,1,1,"Sedan","yes",47231,3,"Yes",1,0,"No","25-40","25-40M",0,11,60157,"M","No","No","Manager","High School",216690,6,"Urban",40,0
0,32,"Private",43350,10,1,"Van","no",0,0,"No",1,0,"No","41-60","41-60F",0,3,93268,"F","Yes","No","Clerical","<High School",302157,8,"Highly Urban",50,10
1,22,"Private",16860,4,3,"Van","yes",0,0,"No",0,0,"No","41-60","41-60M",3,5,30043,"M","No","Yes","Clerical","High School",154602,1,"Highly Urban",38,4
1,37,"Private",20630,4,3,"Van","yes",6870,2,"No",1,14755,"Yes","41-60","41-60M",3,5,21042,"M","No","Yes","Clerical","High School",154602,8,"Rural",40,4
0,26,"Commercial",23460,14,2,"Sedan","no",0,0,"No",2,0,"No","41-60","41-60F",0,9,58724,"F","Yes","No","Blue Collar","Bachelors",280436,7,"Highly Urban",48,14
0,24,"Commercial",7390,6,1,"Pickup","no",0,0,"No",2,16916,"Yes","41-60","41-60M",0,13,117612,"M","Yes","No","","PhD",154602,16,"Highly Urban",54,6
0,17,"Private",35760,4,1,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60M",0,7,221413,"M","Yes","No","Lawyer","Masters",511661,17,"Urban",53,4
0,22,"Private",6700,10,1,"Sedan","yes",0,0,"No",0,0,"No","41-60","41-60M",0,6,168168,"M","No","No","Lawyer","Masters",0,15,"Highly Urban",47,10
0,28,"Commercial",20920,3,4,"Van","yes",6224,1,"No",1,4028,"Yes","25-40","25-40M",0,8,53244,"M","No","No","Professional","Bachelors",0,8,"Urban",24,3
0,59,"Commercial",29190,10,4,"Panel Truck","yes",0,0,"No",0,0,"No","25-40","25-40M",0,8,38494,"M","No","No","Professional","Bachelors",0,8,"Rural",25,10
0,23,"Private",6200,4,1,"Sports Car","no",6841,1,"No",0,0,"No","41-60","41-60F",0,10,87887,"F","No","No","Professional","Bachelors",0,14,"Urban",44,4
0,26,"Private",13150,1,1,"SUV","no",5484,1,"No",0,4209,"Yes","25-40","25-40F",0,13,22348,"F","No","No","Clerical","High School",0,1,"Highly Urban",36,0
3,14,"Commercial",24440,4,1,"Panel Truck","yes",5818,1,"No",1,0,"No","25-40","25-40M",3,10,107765,"M","No","Yes","Manager","Masters",309216,17,"Urban",33,4
0,32,"Private",16370,9,1,"Sports Car","no",0,0,"No",0,2000,"Yes",">60",">60F",0,11,80153,"F","No","No","Manager","Masters",272445,15,"Urban",57,9
0,14,"Commercial",21540,7,1,"Van","yes",0,0,"No",2,0,"No","41-60","41-60M",0,9,156367,"M","Yes","No","","Masters",424404,20,"Urban",41,7
1,57,"Commercial",6000,1,1,"Sedan","yes",0,0,"No",0,13042,"Yes","41-60","41-60M",2,14,28731,"M","No","Yes","Blue Collar","High School",0,1,"Highly Urban",42,0
0,69,"Private",5600,9,1,"Sports Car","no",7551,1,"No",0,0,"No","41-60","41-60F",2,9,59936,"F","No","Yes","Professional","Bachelors",0,8,"Rural",38,9
0,50,"Private",6400,12,2,"Pickup","yes",0,0,"No",1,0,"No","41-60","41-60M",0,14,54639,"M","No","No","Clerical","<High School",0,1,"Rural",45,12
0,50,"Private",28140,1,2,"Sedan","yes",0,0,"No",0,0,"No","41-60","41-60M",0,14,54639,"M","No","No","Clerical","<High School",0,1,"Rural",45,0
0,21,"Private",19400,1,1,"Sports Car","no",0,0,"No",1,0,"No","41-60","41-60F",0,16,131985,"F","Yes","No","Lawyer","Masters",385981,11,"Highly Urban",47,0
0,42,"Private",26500,11,1,"Pickup","no",0,0,"No",0,0,"No","41-60","41-60F",0,11,197036,"F","No","No","Lawyer","PhD",498667,20,"Highly Urban",51,11
0,34,"Commercial",23140,1,1,"Panel Truck","yes",21481,4,"Yes",7,2424,"Yes","25-40","25-40M",0,10,85504,"M","No","No","Blue Collar","Bachelors",0,8,"Highly Urban",31,0
0,34,"Private",20900,9,1,"Van","yes",11407,2,"No",4,0,"No","41-60","41-60M",0,12,75774,"M","Yes","No","Doctor","PhD",258868,22,"Urban",48,9
0,37,"Private",6800,1,2,"Pickup","yes",0,0,"No",1,0,"No","41-60","41-60M",0,12,113918,"M","No","No","Lawyer","Masters",0,19,"Highly Urban",49,0
0,33,"Private",6850,6,1,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,12,4542,"F","Yes","No","Home Maker","Bachelors",116360,5,"Urban",48,6
2,14,"Private",16220,1,1,"Van","no",9216,2,"No",2,4623,"Yes","25-40","25-40M",3,14,58914,"M","No","Yes","Professional","Bachelors",0,10,"Highly Urban",35,0
1,25,"Private",1500,1,1,"Sedan","yes",0,0,"No",2,2371,"Yes","41-60","41-60M",2,11,102393,"M","No","Yes","Professional","Bachelors",0,11,"Urban",45,0
0,38,"Private",12940,1,1,"Sedan","yes",0,0,"No",0,0,"No","41-60","41-60M",0,9,67433,"M","Yes","No","Professional","Bachelors",155700,4,"Urban",46,0
0,25,"Private",16970,1,3,"Sports Car","no",0,0,"No",3,0,"No","41-60","41-60F",0,12,105199,"F","No","No","Lawyer","Masters",154602,14,"Highly Urban",42,0
0,30,"Commercial",29230,6,1,"Panel Truck","no",12636,3,"Yes",2,0,"No","25-40","25-40M",1,4,119331,"M","Yes","No","Professional","Bachelors",363888,10,"Highly Urban",26,6
0,22,"Commercial",14510,1,1,"Sedan","no",0,0,"No",3,0,"No","41-60","41-60M",0,10,0,"M","No","No","Student","Bachelors",0,8,"Rural",45,0
0,57,"Private",12160,10,1,"Sedan","no",0,0,"No",1,0,"No","41-60","41-60M",2,16,63612,"M","Yes","No","Clerical","High School",220417,1,"Rural",38,10
0,35,"Commercial",5430,1,1,"Pickup","yes",6570,2,"No",6,4405,"Yes","25-40","25-40M",2,14,4290,"M","Yes","No","Student","<High School",0,1,"Urban",33,0
0,42,"Commercial",25660,4,1,"Panel Truck","yes",0,0,"No",2,4487,"Yes","25-40","25-40M",3,10,104575,"M","No","Yes","Blue Collar","Bachelors",0,12,"Urban",21,4
0,30,"Private",22040,11,2,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60F",2,14,46751,"F","Yes","No","Manager","Masters",177328,14,"Urban",40,11
0,49,"Private",18740,1,2,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60F",2,15,91329,"F","Yes","No","Lawyer","Masters",291800,19,"Highly Urban",40,0
0,46,"Commercial",24650,6,1,"Panel Truck","yes",0,0,"No",0,0,"No","41-60","41-60M",0,9,161325,"M","Yes","No","Manager","PhD",429578,14,"Urban",49,6
0,41,"Private",26820,4,1,"SUV","no",0,0,"No",2,0,"No","25-40","25-40F",0,11,122150,"F","Yes","No","Lawyer","Masters",154602,12,"Highly Urban",33,4
0,30,"Private",12710,10,2,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60M",0,7,62069,"M","Yes","No","Manager","Bachelors",227214,6,"Urban",46,10
0,71,"Private",18950,10,2,"Van","no",0,0,"No",2,0,"No","41-60","41-60M",0,7,70195,"M","Yes","No","Manager","Bachelors",269925,8,"Urban",46,10
0,8,"Private",14440,1,1,"Sedan","no",44214,2,"No",3,0,"No","41-60","41-60M",0,14,61610,"M","No","No","Manager","Bachelors",0,8,"Urban",47,0
1,37,"Commercial",26470,4,1,"SUV","no",0,0,"No",0,7308,"Yes","41-60","41-60F",2,14,176849,"F","Yes","No","Blue Collar","Bachelors",430830,6,"Highly Urban",51,4
0,26,"Private",17930,8,1,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60F",0,6,28496,"F","No","No","Professional","Masters",147825,8,"Urban",46,9
0,51,"Private",16110,1,1,"Sedan","no",3062,1,"No",1,3621,"Yes","25-40","25-40F",0,9,34581,"F","No","No","Blue Collar","<High School",0,1,"Highly Urban",29,0
1,38,"Private",14170,4,3,"SUV","no",9785,2,"No",0,5862,"Yes","25-40","25-40F",2,11,22938,"F","No","Yes","Clerical","High School",0,1,"Rural",36,4
1,61,"Commercial",14430,9,1,"SUV","no",0,0,"No",1,0,"No","25-40","25-40F",2,14,75605,"F","Yes","No","Blue Collar","Bachelors",215859,13,"Highly Urban",32,9
0,5,"Commercial",7300,4,1,"Pickup","no",3075,4,"No",5,4373,"Yes","41-60","41-60M",0,8,77297,"M","No","No","Blue Collar","Bachelors",280067,1,"Urban",57,4
0,22,"Commercial",30660,6,2,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,15,43118,"F","Yes","No","Blue Collar","High School",173745,9,"Rural",58,6
0,22,"Commercial",25060,1,2,"Sports Car","no",0,0,"No",4,0,"No","41-60","41-60F",0,15,43118,"F","Yes","No","Blue Collar","High School",173745,9,"Rural",58,0
0,11,"Private",17960,12,1,"Sedan","yes",1038,2,"No",1,0,"No","25-40","25-40M",0,9,15493,"M","Yes","No","Clerical","<High School",103733,6,"Highly Urban",31,12
0,31,"Commercial",23590,1,1,"Panel Truck","yes",0,0,"No",0,0,"No","25-40","25-40M",1,14,62502,"M","Yes","No","Professional","Bachelors",201110,11,"Rural",35,0
1,52,"Commercial",17680,4,1,"Van","yes",25208,2,"Yes",0,5847,"Yes","25-40","25-40M",3,13,88137,"M","Yes","No","","Masters",256436,14,"Highly Urban",35,4
0,18,"Private",1500,4,1,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60M",0,13,61610,"M","Yes","No","Manager","Bachelors",305391,1,"Urban",51,4
0,42,"Private",13350,10,1,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",4,14,86539,"F","Yes","No","","Masters",305557,19,"Urban",32,10
0,22,"Commercial",16090,3,3,"SUV","no",2982,3,"No",2,0,"No","25-40","25-40F",0,10,98120,"F","No","No","Blue Collar","Bachelors",0,12,"Highly Urban",35,3
0,21,"Private",19960,10,3,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",0,10,106944,"F","No","No","Blue Collar","Bachelors",0,12,"Highly Urban",34,10
0,66,"Private",7610,1,1,"Pickup","no",7054,1,"No",0,0,"No","25-40","25-40M",1,12,25081,"M","Yes","No","Clerical","<High School",119233,8,"Highly Rural",34,0
0,5,"Private",13440,13,3,"Sedan","yes",0,0,"No",0,0,"No","41-60","41-60M",0,8,66429,"M","Yes","No","Lawyer","Masters",225996,18,"Urban",47,13
0,70,"Private",15570,1,2,"SUV","no",3636,3,"No",8,3242,"Yes",">60",">60F",0,14,62378,"F","Yes","No","Lawyer","Masters",181874,1,"Urban",59,0
0,35,"Private",7470,1,2,"Pickup","yes",0,0,"No",0,0,"No","25-40","25-40M",4,17,22699,"M","No","Yes","Clerical","<High School",0,1,"Rural",36,0
0,38,"Private",11080,10,2,"Pickup","yes",0,0,"No",0,0,"No","25-40","25-40M",4,17,57833,"M","Yes","No","Clerical","Bachelors",160429,8,"Rural",36,10
0,62,"Private",16430,6,2,"SUV","no",3106,1,"No",6,0,"No",">60",">60F",0,0,0,"F","No","No","Student","<High School",0,7,"Rural",58,6
0,30,"Private",18880,3,3,"Sports Car","no",28353,1,"No",7,0,"No",">60",">60F",1,14,45876,"F","Yes","No","Professional","High School",207530,1,"Highly Urban",63,3
0,66,"Private",12690,1,3,"SUV","no",21525,2,"Yes",3,8641,"Yes",">60",">60F",1,14,61610,"F","Yes","No","Professional","High School",219318,1,"Urban",66,0
0,66,"Private",14080,4,3,"Sports Car","no",5898,3,"No",3,2931,"Yes",">60",">60F",1,14,61610,"F","Yes","No","Professional","High School",219318,1,"Urban",66,4
0,66,"Private",15380,6,1,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,0,0,"F","Yes","No","Student","High School",78609,8,"Highly Rural",38,6
0,22,"Private",13110,1,1,"Sedan","no",0,0,"No",1,0,"No","41-60","41-60F",0,12,33909,"F","Yes","No","Lawyer","Masters",167505,17,"Highly Urban",45,0
0,28,"Commercial",4700,7,1,"SUV","no",4196,3,"No",0,4995,"Yes","25-40","25-40F",2,10,0,"F","No","Yes","Student","Bachelors",0,11,"Urban",32,7
0,56,"Commercial",19640,1,4,"Pickup","no",6187,1,"No",2,0,"No","41-60","41-60F",0,0,0,"F","Yes","No","Home Maker","High School",56589,1,"Highly Urban",48,0
0,56,"Private",1500,4,4,"SUV","no",0,0,"No",0,2986,"Yes","41-60","41-60F",0,0,0,"F","Yes","No","Home Maker","High School",74945,1,"Highly Urban",50,4
1,12,"Private",17290,1,2,"Van","no",0,0,"No",3,3674,"Yes","41-60","41-60M",2,10,112450,"M","No","Yes","Lawyer","Masters",337743,18,"Urban",41,0
0,26,"Private",7100,1,4,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",0,13,35093,"F","Yes","No","Clerical","High School",184784,8,"Highly Rural",48,0
0,36,"Commercial",24900,3,1,"Panel Truck","yes",0,0,"No",0,0,"No","41-60","41-60M",0,12,87190,"M","Yes","No","","Masters",260524,12,"Urban",42,3
0,25,"Private",17120,10,2,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",2,13,38544,"F","Yes","No","Blue Collar","High School",186304,8,"Rural",40,10
0,40,"Commercial",33690,1,2,"Panel Truck","no",0,0,"No",1,0,"No","41-60","41-60F",0,12,49242,"F","Yes","No","Clerical","High School",191938,9,"Rural",48,0
0,26,"Commercial",33850,10,2,"SUV","no",0,0,"No",3,0,"No","41-60","41-60F",1,14,45174,"F","Yes","No","Blue Collar","Bachelors",212235,7,"Highly Urban",48,10
0,5,"Private",14740,1,1,"SUV","yes",8006,2,"No",0,0,"No",">60",">60M",0,15,39953,"M","Yes","No","Doctor","PhD",181434,1,"Highly Urban",59,0
0,40,"Commercial",31820,4,1,"Panel Truck","no",0,0,"No",0,0,"No","41-60","41-60F",0,9,203641,"F","Yes","No","Manager","PhD",533607,7,"Urban",48,4
0,25,"Private",8230,1,1,"Sports Car","yes",41794,3,"Yes",3,0,"No",">60",">60M",0,15,59807,"M","Yes","No","Lawyer","Masters",194391,10,"Urban",58,0
0,32,"Private",13730,1,2,"Sedan","yes",0,0,"No",0,0,"No","25-40","25-40M",0,12,85292,"M","Yes","No","Manager","Bachelors",227344,9,"Urban",33,0
0,6,"Private",24510,7,1,"Sedan","yes",0,0,"No",0,0,"No","41-60","41-60M",2,14,97484,"M","No","Yes","Manager","Masters",271024,16,"Urban",38,7
3,54,"Private",1500,4,2,"SUV","no",0,0,"No",5,6716,"Yes","25-40","25-40F",4,0,61610,"F","Yes","No","Student","High School",0,10,"Highly Urban",35,4
0,40,"Commercial",5300,10,1,"Pickup","yes",0,0,"Yes",0,1519,"Yes","25-40","25-40M",1,9,19122,"M","No","Yes","Professional","High School",0,1,"Urban",36,10
0,26,"Private",9700,4,1,"Pickup","no",0,0,"No",0,0,"No","41-60","41-60M",0,14,35021,"M","Yes","No","Manager","Bachelors",180400,8,"Urban",42,4
0,19,"Commercial",22450,7,2,"Van","yes",4986,2,"No",0,1031,"Yes","25-40","25-40M",0,6,88981,"M","No","No","","Masters",252797,17,"Highly Urban",34,7
0,57,"Private",14060,1,1,"Sedan","no",3868,1,"No",3,5051,"Yes","41-60","41-60M",0,6,52275,"M","Yes","No","Professional","Bachelors",169104,6,"Urban",43,0
0,46,"Private",14300,1,1,"Sedan","no",0,0,"No",1,0,"No","25-40","25-40F",2,14,137663,"F","Yes","No","","PhD",303237,11,"Urban",28,0
0,14,"Commercial",17190,1,1,"Van","yes",10786,2,"No",3,0,"No","25-40","25-40M",2,10,114322,"M","Yes","No","Blue Collar","Bachelors",301530,8,"Highly Urban",32,0
