"Driving_kids","TRAVTIME","COMMERCIAL_VEHICLE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","Past_claim","REVOKED","MVR_PTS","CLM_AMT","CLM_FLAG","AGE","Kids","NEW_IN_JOB","INCOME","SEX_MALE","MARRIED","SINGLE_PARENT","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","URBAN_NOT_RURAL","AGE_YEARS","College_MAX_EDUC","Sedan","Student","Blue_collar","Young_age","Homeowner"
0,47,0,13030,1,3,"SUV",0,2334,1,0,3,14509,1,"41-60",0,1,0,0,0,0,"Home Maker","Masters",109155,15,1,39,1,0,0,0,0,1
0,7,0,14630,17,1,"Sedan",1,0,0,0,1,0,0,"41-60",1,0,75265,1,0,1,"Manager","High School",212010,10,1,51,0,1,0,0,0,1
1,75,0,13070,1,1,"Sports Car",0,3664,1,0,0,5064,1,">60",1,0,53698,0,1,0,"Professional","Bachelors",154602,1,0,59,1,0,0,0,0,1
0,25,0,10010,6,1,"Pickup",0,0,0,0,0,0,0,"41-60",0,0,32073,1,1,0,"Blue Collar","High School",145645,10,0,48,0,0,0,1,0,1
0,40,1,16010,6,1,"Sedan",1,0,0,0,1,0,0,"41-60",0,0,96143,1,1,0,"Blue Collar","Bachelors",275140,12,0,45,1,1,0,1,0,1
0,12,0,13030,1,4,"Sports Car",0,0,0,0,0,4307,1,"25-40",1,0,36179,0,0,1,"Clerical","<High School",106892,6,0,31,0,0,0,0,0,1
0,39,0,9810,4,4,"SUV",0,0,0,0,0,0,0,"25-40",1,0,45384,0,0,1,"Clerical","High School",187731,8,0,30,0,0,0,0,0,1
0,26,1,48380,4,2,"Panel Truck",0,0,0,1,1,6290,1,"41-60",0,0,119537,0,1,0,"Professional","PhD",360697,20,1,57,1,0,0,0,0,1
1,9,0,10840,7,1,"Sedan",1,3973,1,0,0,0,0,"25-40",1,0,3414,1,1,0,"Student","<High School",0,8,1,38,0,1,1,0,0,0
1,58,0,15400,6,1,"SUV",0,0,0,0,0,0,0,"25-40",1,0,27431,0,0,1,"Blue Collar","<High School",153652,7,0,31,0,0,0,1,0,1
0,14,0,8540,6,1,"Pickup",0,3653,1,0,2,1745,1,"41-60",0,0,18426,1,0,0,"Clerical","<High School",137473,1,1,50,0,0,0,0,0,1
0,63,0,8420,7,1,"SUV",0,3721,1,0,2,0,0,"41-60",0,1,0,0,0,0,"Home Maker","Bachelors",124751,12,1,44,1,0,0,0,0,1
0,12,0,6550,7,1,"Pickup",1,7475,1,0,4,0,0,"25-40",0,0,36763,1,1,0,"Blue Collar","<High School",175960,5,1,27,0,0,0,1,0,1
0,16,0,12710,1,2,"SUV",0,0,0,0,0,0,0,"25-40",1,0,31389,0,1,0,"Blue Collar","<High School",158657,5,0,30,0,0,0,1,0,1
1,17,1,19880,1,1,"Sports Car",0,0,0,1,0,3642,1,"41-60",1,0,48819,0,1,0,"Blue Collar","Bachelors",198108,13,1,45,1,0,0,1,0,1
0,51,1,28560,7,2,"Panel Truck",1,0,0,0,0,0,0,"41-60",0,0,99441,1,0,0,"Other","PhD",0,13,1,58,1,0,0,0,0,0
0,41,0,15040,4,1,"Sedan",0,0,0,0,1,0,0,"41-60",0,0,135361,1,1,0,"Lawyer","Masters",390682,10,0,52,1,1,0,0,0,1
0,20,0,11130,1,2,"Sedan",0,0,0,0,1,0,0,"41-60",0,0,96339,1,1,0,"Manager","Bachelors",321111,12,1,52,1,1,0,0,0,1
1,38,0,9670,3,3,"SUV",0,0,0,0,0,4614,1,"41-60",1,0,15385,0,0,1,"Clerical","<High School",0,5,1,43,0,0,0,0,0,0
1,60,0,9690,9,3,"SUV",0,34514,1,1,0,4290,1,"41-60",1,0,36912,0,0,1,"Clerical","Bachelors",0,12,1,43,1,0,0,0,0,0
1,60,0,6550,12,3,"SUV",0,3791,1,0,7,0,0,"41-60",1,0,36912,0,0,1,"Clerical","Bachelors",0,12,1,43,1,0,0,0,0,0
0,17,0,4600,6,1,"Sports Car",0,0,0,0,0,4259,1,"25-40",1,0,33782,0,0,1,"Clerical","High School",0,5,1,29,0,0,0,0,0,0
0,37,1,23520,10,2,"Panel Truck",0,3236,1,0,0,0,0,"25-40",1,0,61610,1,1,0,"Student","Bachelors",153659,10,1,30,1,0,1,0,0,1
0,64,1,8760,1,2,"Pickup",1,0,0,0,0,0,0,"41-60",0,0,25620,1,1,0,"Clerical","High School",141115,10,0,46,0,0,0,0,0,1
0,64,0,8760,6,2,"Sedan",1,0,0,0,0,0,0,"41-60",0,0,25620,1,1,0,"Clerical","High School",141115,10,0,46,0,1,0,0,0,1
0,47,0,15490,9,3,"SUV",0,0,0,0,1,0,0,"41-60",1,0,102262,0,1,0,"Lawyer","Masters",266234,15,1,40,1,0,0,0,0,1
0,47,0,1500,10,3,"Sports Car",0,0,0,0,0,0,0,"41-60",1,0,61610,0,1,0,"Lawyer","Masters",155178,16,1,41,1,0,0,0,0,1
0,39,0,15270,10,3,"Sedan",0,0,0,0,0,6111,1,"41-60",1,0,61610,0,1,0,"Lawyer","Masters",155178,16,1,42,1,1,0,0,0,1
0,69,1,5900,7,2,"SUV",0,0,0,0,0,0,0,"41-60",0,0,70914,0,0,0,"Blue Collar","Bachelors",0,9,0,43,1,0,0,1,0,0
0,38,0,6040,7,1,"SUV",0,0,0,0,0,0,0,"41-60",0,0,45387,0,1,0,"Lawyer","Masters",162853,13,1,48,1,0,0,0,0,1
0,66,1,10780,4,1,"Pickup",1,0,0,0,0,0,0,"41-60",0,0,40833,1,1,0,"Blue Collar","<High School",159144,4,0,49,0,0,0,1,0,1
0,48,1,6100,1,2,"Pickup",0,0,0,0,1,0,0,"41-60",0,0,56062,1,0,0,"Professional","Bachelors",223241,7,0,42,1,0,0,0,0,1
0,24,1,29670,1,2,"Panel Truck",1,5053,1,0,4,0,0,"41-60",0,0,50201,1,1,0,"Manager","High School",169828,1,1,47,0,0,0,0,0,1
0,45,0,18060,8,2,"SUV",0,0,0,0,0,0,0,"41-60",0,0,39848,0,0,0,"Lawyer","Masters",136304,15,1,39,1,0,0,0,0,1
0,45,0,5800,9,2,"SUV",0,3010,1,0,0,0,0,"41-60",0,0,39848,0,0,0,"Lawyer","Masters",136304,15,1,39,1,0,0,0,0,1
0,28,0,15600,1,1,"Sedan",1,47231,1,1,1,0,0,"25-40",0,0,60157,1,0,0,"Manager","High School",216690,6,1,40,0,1,0,0,0,1
0,32,0,43350,10,1,"Van",0,0,0,0,1,0,0,"41-60",0,0,93268,0,1,0,"Clerical","<High School",302157,8,1,50,0,0,0,0,0,1
1,22,0,16860,4,3,"Van",1,0,0,0,0,0,0,"41-60",1,0,30043,1,0,1,"Clerical","High School",154602,1,1,38,0,0,0,0,0,1
1,37,0,20630,4,3,"Van",1,6870,1,0,1,14755,1,"41-60",1,0,21042,1,0,1,"Clerical","High School",154602,8,0,40,0,0,0,0,0,1
0,26,1,23460,14,2,"Sedan",0,0,0,0,2,0,0,"41-60",0,0,58724,0,1,0,"Blue Collar","Bachelors",280436,7,1,48,1,1,0,1,0,1
0,24,1,7390,6,1,"Pickup",0,0,0,0,2,16916,1,"41-60",0,0,117612,1,1,0,"Other","PhD",154602,16,1,54,1,0,0,0,0,1
0,17,0,35760,4,1,"Sedan",0,0,0,0,0,0,0,"41-60",0,0,221413,1,1,0,"Lawyer","Masters",511661,17,1,53,1,1,0,0,0,1
0,22,0,6700,10,1,"Sedan",1,0,0,0,0,0,0,"41-60",0,0,168168,1,0,0,"Lawyer","Masters",0,15,1,47,1,1,0,0,0,0
0,28,1,20920,3,4,"Van",1,6224,1,0,1,4028,1,"25-40",0,0,53244,1,0,0,"Professional","Bachelors",0,8,1,24,1,0,0,0,1,0
0,59,1,29190,10,4,"Panel Truck",1,0,0,0,0,0,0,"25-40",0,0,38494,1,0,0,"Professional","Bachelors",0,8,0,25,1,0,0,0,0,0
0,23,0,6200,4,1,"Sports Car",0,6841,1,0,0,0,0,"41-60",0,0,87887,0,0,0,"Professional","Bachelors",0,14,1,44,1,0,0,0,0,0
0,26,0,13150,1,1,"SUV",0,5484,1,0,0,4209,1,"25-40",0,0,22348,0,0,0,"Clerical","High School",0,1,1,36,0,0,0,0,0,0
1,14,1,24440,4,1,"Panel Truck",1,5818,1,0,1,0,0,"25-40",1,0,107765,1,0,1,"Manager","Masters",309216,17,1,33,1,0,0,0,0,1
0,32,0,16370,9,1,"Sports Car",0,0,0,0,0,2000,1,">60",0,0,80153,0,0,0,"Manager","Masters",272445,15,1,57,1,0,0,0,0,1
0,14,1,21540,7,1,"Van",1,0,0,0,2,0,0,"41-60",0,0,156367,1,1,0,"Other","Masters",424404,20,1,41,1,0,0,0,0,1
1,57,1,6000,1,1,"Sedan",1,0,0,0,0,13042,1,"41-60",1,0,28731,1,0,1,"Blue Collar","High School",0,1,1,42,0,1,0,1,0,0
0,69,0,5600,9,1,"Sports Car",0,7551,1,0,0,0,0,"41-60",1,0,59936,0,0,1,"Professional","Bachelors",0,8,0,38,1,0,0,0,0,0
0,50,0,6400,12,2,"Pickup",1,0,0,0,1,0,0,"41-60",0,0,54639,1,0,0,"Clerical","<High School",0,1,0,45,0,0,0,0,0,0
0,50,0,28140,1,2,"Sedan",1,0,0,0,0,0,0,"41-60",0,0,54639,1,0,0,"Clerical","<High School",0,1,0,45,0,1,0,0,0,0
0,21,0,19400,1,1,"Sports Car",0,0,0,0,1,0,0,"41-60",0,0,131985,0,1,0,"Lawyer","Masters",385981,11,1,47,1,0,0,0,0,1
0,42,0,26500,11,1,"Pickup",0,0,0,0,0,0,0,"41-60",0,0,197036,0,0,0,"Lawyer","PhD",498667,20,1,51,1,0,0,0,0,1
0,34,1,23140,1,1,"Panel Truck",1,21481,1,1,7,2424,1,"25-40",0,0,85504,1,0,0,"Blue Collar","Bachelors",0,8,1,31,1,0,0,1,0,0
0,34,0,20900,9,1,"Van",1,11407,1,0,4,0,0,"41-60",0,0,75774,1,1,0,"Doctor","PhD",258868,22,1,48,1,0,0,0,0,1
0,37,0,6800,1,2,"Pickup",1,0,0,0,1,0,0,"41-60",0,0,113918,1,0,0,"Lawyer","Masters",0,19,1,49,1,0,0,0,0,0
0,33,0,6850,6,1,"SUV",0,0,0,0,0,0,0,"41-60",0,0,4542,0,1,0,"Home Maker","Bachelors",116360,5,1,48,1,0,0,0,0,1
1,14,0,16220,1,1,"Van",0,9216,1,0,2,4623,1,"25-40",1,0,58914,1,0,1,"Professional","Bachelors",0,10,1,35,1,0,0,0,0,0
1,25,0,1500,1,1,"Sedan",1,0,0,0,2,2371,1,"41-60",1,0,102393,1,0,1,"Professional","Bachelors",0,11,1,45,1,1,0,0,0,0
0,38,0,12940,1,1,"Sedan",1,0,0,0,0,0,0,"41-60",0,0,67433,1,1,0,"Professional","Bachelors",155700,4,1,46,1,1,0,0,0,1
0,25,0,16970,1,3,"Sports Car",0,0,0,0,3,0,0,"41-60",0,0,105199,0,0,0,"Lawyer","Masters",154602,14,1,42,1,0,0,0,0,1
0,30,1,29230,6,1,"Panel Truck",0,12636,1,1,2,0,0,"25-40",1,0,119331,1,1,0,"Professional","Bachelors",363888,10,1,26,1,0,0,0,0,1
0,22,1,14510,1,1,"Sedan",0,0,0,0,3,0,0,"41-60",0,0,0,1,0,0,"Student","Bachelors",0,8,0,45,1,1,1,0,0,0
0,57,0,12160,10,1,"Sedan",0,0,0,0,1,0,0,"41-60",1,0,63612,1,1,0,"Clerical","High School",220417,1,0,38,0,1,0,0,0,1
0,35,1,5430,1,1,"Pickup",1,6570,1,0,6,4405,1,"25-40",1,0,4290,1,1,0,"Student","<High School",0,1,1,33,0,0,1,0,0,0
0,42,1,25660,4,1,"Panel Truck",1,0,0,0,2,4487,1,"25-40",1,0,104575,1,0,1,"Blue Collar","Bachelors",0,12,1,21,1,0,0,1,1,0
0,30,0,22040,11,2,"Sedan",0,0,0,0,0,0,0,"41-60",1,0,46751,0,1,0,"Manager","Masters",177328,14,1,40,1,1,0,0,0,1
0,49,0,18740,1,2,"Sedan",0,0,0,0,0,0,0,"41-60",1,0,91329,0,1,0,"Lawyer","Masters",291800,19,1,40,1,1,0,0,0,1
0,46,1,24650,6,1,"Panel Truck",1,0,0,0,0,0,0,"41-60",0,0,161325,1,1,0,"Manager","PhD",429578,14,1,49,1,0,0,0,0,1
0,41,0,26820,4,1,"SUV",0,0,0,0,2,0,0,"25-40",0,0,122150,0,1,0,"Lawyer","Masters",154602,12,1,33,1,0,0,0,0,1
0,30,0,12710,10,2,"Sedan",0,0,0,0,0,0,0,"41-60",0,0,62069,1,1,0,"Manager","Bachelors",227214,6,1,46,1,1,0,0,0,1
0,71,0,18950,10,2,"Van",0,0,0,0,2,0,0,"41-60",0,0,70195,1,1,0,"Manager","Bachelors",269925,8,1,46,1,0,0,0,0,1
0,8,0,14440,1,1,"Sedan",0,44214,1,0,3,0,0,"41-60",0,0,61610,1,0,0,"Manager","Bachelors",0,8,1,47,1,1,0,0,0,0
1,37,1,26470,4,1,"SUV",0,0,0,0,0,7308,1,"41-60",1,0,176849,0,1,0,"Blue Collar","Bachelors",430830,6,1,51,1,0,0,1,0,1
0,26,0,17930,8,1,"Sedan",0,0,0,0,0,0,0,"41-60",0,0,28496,0,0,0,"Professional","Masters",147825,8,1,46,1,1,0,0,0,1
0,51,0,16110,1,1,"Sedan",0,3062,1,0,1,3621,1,"25-40",0,0,34581,0,0,0,"Blue Collar","<High School",0,1,1,29,0,1,0,1,0,0
1,38,0,14170,4,3,"SUV",0,9785,1,0,0,5862,1,"25-40",1,0,22938,0,0,1,"Clerical","High School",0,1,0,36,0,0,0,0,0,0
1,61,1,14430,9,1,"SUV",0,0,0,0,1,0,0,"25-40",1,0,75605,0,1,0,"Blue Collar","Bachelors",215859,13,1,32,1,0,0,1,0,1
0,5,1,7300,4,1,"Pickup",0,3075,1,0,5,4373,1,"41-60",0,0,77297,1,0,0,"Blue Collar","Bachelors",280067,1,1,57,1,0,0,1,0,1
0,22,1,30660,6,2,"SUV",0,0,0,0,0,0,0,"41-60",0,0,43118,0,1,0,"Blue Collar","High School",173745,9,0,58,0,0,0,1,0,1
0,22,1,25060,1,2,"Sports Car",0,0,0,0,4,0,0,"41-60",0,0,43118,0,1,0,"Blue Collar","High School",173745,9,0,58,0,0,0,1,0,1
0,11,0,17960,12,1,"Sedan",1,1038,1,0,1,0,0,"25-40",0,0,15493,1,1,0,"Clerical","<High School",103733,6,1,31,0,1,0,0,0,1
0,31,1,23590,1,1,"Panel Truck",1,0,0,0,0,0,0,"25-40",1,0,62502,1,1,0,"Professional","Bachelors",201110,11,0,35,1,0,0,0,0,1
1,52,1,17680,4,1,"Van",1,25208,1,1,0,5847,1,"25-40",1,0,88137,1,1,0,"Other","Masters",256436,14,1,35,1,0,0,0,0,1
0,18,0,1500,4,1,"Sedan",0,0,0,0,0,0,0,"41-60",0,0,61610,1,1,0,"Manager","Bachelors",305391,1,1,51,1,1,0,0,0,1
0,42,0,13350,10,1,"SUV",0,0,0,0,0,0,0,"25-40",1,0,86539,0,1,0,"Other","Masters",305557,19,1,32,1,0,0,0,0,1
0,22,1,16090,3,3,"SUV",0,2982,1,0,2,0,0,"25-40",0,0,98120,0,0,0,"Blue Collar","Bachelors",0,12,1,35,1,0,0,1,0,0
0,21,0,19960,10,3,"SUV",0,0,0,0,0,0,0,"25-40",0,0,106944,0,0,0,"Blue Collar","Bachelors",0,12,1,34,1,0,0,1,0,0
0,66,0,7610,1,1,"Pickup",0,7054,1,0,0,0,0,"25-40",1,0,25081,1,1,0,"Clerical","<High School",119233,8,0,34,0,0,0,0,0,1
0,5,0,13440,13,3,"Sedan",1,0,0,0,0,0,0,"41-60",0,0,66429,1,1,0,"Lawyer","Masters",225996,18,1,47,1,1,0,0,0,1
0,70,0,15570,1,2,"SUV",0,3636,1,0,8,3242,1,">60",0,0,62378,0,1,0,"Lawyer","Masters",181874,1,1,59,1,0,0,0,0,1
0,35,0,7470,1,2,"Pickup",1,0,0,0,0,0,0,"25-40",1,0,22699,1,0,1,"Clerical","<High School",0,1,0,36,0,0,0,0,0,0
0,38,0,11080,10,2,"Pickup",1,0,0,0,0,0,0,"25-40",1,0,57833,1,1,0,"Clerical","Bachelors",160429,8,0,36,1,0,0,0,0,1
0,62,0,16430,6,2,"SUV",0,3106,1,0,6,0,0,">60",0,1,0,0,0,0,"Student","<High School",0,7,0,58,0,0,1,0,0,0
0,30,0,18880,3,3,"Sports Car",0,28353,1,0,7,0,0,">60",1,0,45876,0,1,0,"Professional","High School",207530,1,1,63,0,0,0,0,0,1
0,66,0,12690,1,3,"SUV",0,21525,1,1,3,8641,1,">60",1,0,61610,0,1,0,"Professional","High School",219318,1,1,66,0,0,0,0,0,1
0,66,0,14080,4,3,"Sports Car",0,5898,1,0,3,2931,1,">60",1,0,61610,0,1,0,"Professional","High School",219318,1,1,66,0,0,0,0,0,1
0,66,0,15380,6,1,"SUV",0,0,0,0,0,0,0,"41-60",0,1,0,0,1,0,"Student","High School",78609,8,0,38,0,0,1,0,0,1
0,22,0,13110,1,1,"Sedan",0,0,0,0,1,0,0,"41-60",0,0,33909,0,1,0,"Lawyer","Masters",167505,17,1,45,1,1,0,0,0,1
0,28,1,4700,7,1,"SUV",0,4196,1,0,0,4995,1,"25-40",1,0,0,0,0,1,"Student","Bachelors",0,11,1,32,1,0,1,0,0,0
0,56,1,19640,1,4,"Pickup",0,6187,1,0,2,0,0,"41-60",0,1,0,0,1,0,"Home Maker","High School",56589,1,1,48,0,0,0,0,0,1
0,56,0,1500,4,4,"SUV",0,0,0,0,0,2986,1,"41-60",0,1,0,0,1,0,"Home Maker","High School",74945,1,1,50,0,0,0,0,0,1
1,12,0,17290,1,2,"Van",0,0,0,0,3,3674,1,"41-60",1,0,112450,1,0,1,"Lawyer","Masters",337743,18,1,41,1,0,0,0,0,1
0,26,0,7100,1,4,"SUV",0,0,0,0,0,0,0,"41-60",0,0,35093,0,1,0,"Clerical","High School",184784,8,0,48,0,0,0,0,0,1
0,36,1,24900,3,1,"Panel Truck",1,0,0,0,0,0,0,"41-60",0,0,87190,1,1,0,"Other","Masters",260524,12,1,42,1,0,0,0,0,1
0,25,0,17120,10,2,"SUV",0,0,0,0,0,0,0,"41-60",1,0,38544,0,1,0,"Blue Collar","High School",186304,8,0,40,0,0,0,1,0,1
0,40,1,33690,1,2,"Panel Truck",0,0,0,0,1,0,0,"41-60",0,0,49242,0,1,0,"Clerical","High School",191938,9,0,48,0,0,0,0,0,1
0,26,1,33850,10,2,"SUV",0,0,0,0,3,0,0,"41-60",1,0,45174,0,1,0,"Blue Collar","Bachelors",212235,7,1,48,1,0,0,1,0,1
0,5,0,14740,1,1,"SUV",1,8006,1,0,0,0,0,">60",0,0,39953,1,1,0,"Doctor","PhD",181434,1,1,59,1,0,0,0,0,1
0,40,1,31820,4,1,"Panel Truck",0,0,0,0,0,0,0,"41-60",0,0,203641,0,1,0,"Manager","PhD",533607,7,1,48,1,0,0,0,0,1
0,25,0,8230,1,1,"Sports Car",1,41794,1,1,3,0,0,">60",0,0,59807,1,1,0,"Lawyer","Masters",194391,10,1,58,1,0,0,0,0,1
0,32,0,13730,1,2,"Sedan",1,0,0,0,0,0,0,"25-40",0,0,85292,1,1,0,"Manager","Bachelors",227344,9,1,33,1,1,0,0,0,1
0,6,0,24510,7,1,"Sedan",1,0,0,0,0,0,0,"41-60",1,0,97484,1,0,1,"Manager","Masters",271024,16,1,38,1,1,0,0,0,1
1,54,0,1500,4,2,"SUV",0,0,0,0,5,6716,1,"25-40",1,1,61610,0,1,0,"Student","High School",0,10,1,35,0,0,1,0,0,0
0,40,1,5300,10,1,"Pickup",1,0,0,1,0,1519,1,"25-40",1,0,19122,1,0,1,"Professional","High School",0,1,1,36,0,0,0,0,0,0
0,26,0,9700,4,1,"Pickup",0,0,0,0,0,0,0,"41-60",0,0,35021,1,1,0,"Manager","Bachelors",180400,8,1,42,1,0,0,0,0,1
0,19,1,22450,7,2,"Van",1,4986,1,0,0,1031,1,"25-40",0,0,88981,1,0,0,"Other","Masters",252797,17,1,34,1,0,0,0,0,1
0,57,0,14060,1,1,"Sedan",0,3868,1,0,3,5051,1,"41-60",0,0,52275,1,1,0,"Professional","Bachelors",169104,6,1,43,1,1,0,0,0,1
0,46,0,14300,1,1,"Sedan",0,0,0,0,1,0,0,"25-40",1,0,137663,0,1,0,"Other","PhD",303237,11,1,28,1,1,0,0,0,1
0,14,1,17190,1,1,"Van",1,10786,1,0,3,0,0,"25-40",1,0,114322,1,1,0,"Blue Collar","Bachelors",301530,8,1,32,1,0,0,1,0,1
0,55,1,25350,13,1,"Panel Truck",1,5477,1,0,0,0,0,"41-60",0,0,97531,1,1,0,"Other","Masters",301461,19,1,51,1,0,0,0,0,1
0,28,1,18040,6,2,"Sports Car",0,0,0,0,6,1306,1,"41-60",0,1,0,0,0,0,"Home Maker","PhD",0,10,1,44,1,0,0,0,0,0
0,58,0,6760,6,1,"Sports Car",0,0,0,0,0,0,0,"25-40",0,0,17569,0,1,0,"Clerical","<High School",103278,8,0,35,0,0,0,0,0,1
0,29,0,11530,1,2,"Sports Car",0,4571,1,0,4,0,0,"41-60",0,0,53320,0,1,0,"Professional","High School",164347,10,1,45,0,0,0,0,0,1
0,31,0,14140,1,2,"SUV",0,40023,1,1,0,4941,1,"41-60",0,0,51920,0,1,0,"Professional","High School",167105,1,1,45,0,0,0,0,0,1
0,45,1,19150,6,3,"Van",0,0,0,0,3,0,0,"41-60",1,0,10859,0,1,0,"Home Maker","<High School",117283,4,0,38,0,0,0,0,0,1
1,40,0,11910,7,3,"SUV",0,36386,1,1,2,7907,1,"41-60",1,0,0,0,1,0,"Home Maker","<High School",64624,6,1,41,0,0,0,0,0,1
1,27,0,17200,4,3,"Sedan",0,0,0,1,1,0,0,"41-60",0,0,19139,1,1,0,"Clerical","<High School",123576,8,0,44,0,1,0,0,0,1
0,24,0,23010,7,2,"SUV",0,0,0,1,0,0,0,"25-40",1,0,61610,0,0,1,"Clerical","<High School",115939,1,0,26,0,0,0,0,0,1
